IATA,Airport,Location
MXR,Myrhorod Air Base,"Myrhorod, Ukraine"
MXS,Maota Airport,"Maota, Samoa"
MXT,Maintirano Airport,"Maintirano, Madagascar"
MXU,Mullewa Airport,"Mullewa, Western Australia, Australia"
MXV,Mörön Airport,"Mörön, Mongolia"
MXW,Mandalgovi Airport,"Mandalgovi, Mongolia"
MXX,Mora–Siljan Airport,"Mora, Sweden"
MXY,McCarthy Airport (FAA: 15Z),"McCarthy, Alaska, United States"
MXZ,Meixian Airport,"Meizhou, Guangdong, China"
MYA,Moruya Airport,"Moruya, New South Wales, Australia"
MYB,Mayumba Airport,"Mayumba, Gabon"
MYC,Mariscal Sucre Airport,"Maracay, Venezuela"
MYD,Malindi Airport,"Malindi, Kenya"
MYE,Miyakejima Airport,"Miyake-jima, Japan"
MYF,Montgomery Field Airport,"San Diego, California, United States"
MYG,Mayaguana Airport (Abraham's Bay Airport),"Mayaguana, Bahamas"
MYH,Marble Canyon Airport (FAA: L41),"Marble Canyon, Arizona, United States"
MYI,Murray Island Airport,"Murray Island, Queensland, Australia"
MYJ,Matsuyama Airport,"Matsuyama, Shikoku, Japan"
MYK,May Creek Airport,"May Creek, Alaska, United States"
MYL,McCall Municipal Airport,"McCall, Idaho, United States"
MYM,Monkey Mountain Airport,"Monkey Mountain, Guyana"
MYN,Marib Airport,"Ma'rib, Yemen"
MYO,Myroodah Airport,"Myroodah Station, Western Australia, Australia"
MYP,Mary International Airport,"Mary, Turkmenistan"
MYQ,Mysore Airport (Mandakalli Airport),"Mysore, Karnataka, India"
MYR,Myrtle Beach International Airport,"Myrtle Beach, South Carolina, United States"
MYT,Myitkyina Airport,"Myitkyina, Myanmar"
MYU,Mekoryuk Airport,"Mekoryuk, Alaska, United States"
MYV,Yuba County Airport,"Marysville, California, United States"
MYW,Mtwara Airport,"Mtwara, Tanzania"
MYX,Menyamya Airport,"Menyamya, Papua New Guinea"
MYY,Miri Airport,"Miri, Sarawak, Malaysia"
MYZ,Monkey Bay Airport,"Monkey Bay, Malawi"
MZA,Manuel Prado Ugarteche Airport,"Mazamari, Peru"
MZB,Mocímboa da Praia Airport,"Mocímboa da Praia, Mozambique"
MZC,Mitzic Airport,"Mitzic, Gabon"
MZD,Méndez Airport,"Santiago de Méndez, Ecuador"
MZE,Manatee Airport,"Manatee, Belize"
MZF,Wild Coast Sun Airport,"Mzamba, South Africa"
MZG,Magong Airport,"Magong, Taiwan"
MZH,Amasya Merzifon Airport,"Amasya, Turkey"
MZI,Mopti Airport (Ambodedjo Airport),"Mopti, Mali"
MZJ,Pinal Airpark,"Marana, Arizona, United States"
MZK,Marakei Airport,"Marakei, Kiribati"
MZL,La Nubia Airport (Santaguida Airport),"Manizales, Colombia"
MZM,Metz-Frescaty Air Base,"Metz, Lorraine, France"
MZN,Minj Airport,"Minj, Papua New Guinea"
MZO,Sierra Maestra Airport,"Manzanillo, Cuba"
MZP,Motueka Aerodrome,"Motueka, New Zealand"
MZQ,Mkuze Airport,"Mkuze, South Africa"
MZR,Mazar-e Sharif International Airport,"Mazar-i-Sharif, Afghanistan"
MZT,General Rafael Buelna International Airport,"Mazatlán, Sinaloa, Mexico"
MZU,Muzaffarpur Airport,"Muzaffarpur, Bihar, India"
MZV,Mulu Airport,"Mulu, Sarawak, Malaysia"
MZW,Mécheria Airport,"Mécheria, Algeria"
MZX,Mena Airport,"Mena, Ethiopia"
MZY,Mossel Bay Airport,"Mossel Bay, South Africa"
MZZ,Marion Municipal Airport,"Marion, Indiana, United States"
NAA,Narrabri Airport,"Narrabri, New South Wales, Australia"
NAC,Naracoorte Airport,"Naracoorte, South Australia, Australia"
NAD,Macanal Airport,"Macanal, Colombia"
NAE,Boundétingou Airport,"Natitingou, Benin"
NAF,Banaina Airport,"Banaina, Indonesia"
NAG,Dr. Babasaheb Ambedkar International Airport,"Nagpur, Maharashtra, India"
NAH,Naha Airport,"Tahuna, Indonesia"
NAI,Annai Airport,"Annai, Guyana"
NAJ,Nakhchivan International Airport,"Nakhchivan, Azerbaijan"
NAK,Nakhon Ratchasima Airport,"Nakhon Ratchasima, Thailand"
NAL,Nalchik Airport,"Nalchik, Kabardino-Balkaria, Russia"
NAM,Namlea Airport,"Namlea, Indonesia"
NAN,Nadi International Airport,"Nadi, Fiji"
NAO,Nanchong Gaoping Airport,"Nanchong, Sichuan, China"
NAP,Naples International Airport,"Naples, Campania, Italy"
NAQ,Qaanaaq Airport,"Qaanaaq, Greenland"
NAR,Puerto Nare Airport,"Puerto Nare, Colombia"
NAS,Lynden Pindling International Airport,"Nassau, New Providence, Bahamas"
NAT,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,"Natal, Rio Grande do Norte, Brazil"
NAU,Napuka Airport,"Napuka, Tuamotus, French Polynesia"
NAV,Nevsehir Kapadokya Airport,"Nevsehir, Turkey"
NAW,Narathiwat Airport,"Narathiwat, Thailand"
NAY,Beijing Nanyuan Airport,"Beijing, China"
NAZ,Nana Airport,"Star Harbour, Solomon Islands"
NBA,Nambaiyufa Airport,"Nambaiyufa, Papua New Guinea"
NBB,Barranco Minas Airport,"Barranco Minas, Colombia"
NBC,Begishevo Airport,"Nizhnekamsk / Naberezhnye Chelny, Tatarstan, Russia"
NBE,Enfidha-Hammamet International Airport,"Enfidha, Tunisia"
NBG,NAS JRB New Orleans (Alvin Callender Field),"New Orleans, Louisiana, United States"
NBH,Nambucca Heads Airport,"Nambucca Heads, New South Wales, Australia"
NBL,Wannukandi Airport,"San Blas, Panama"
NBN,Annobón Airport,"Annobón, Equatorial Guinea"
NBO,Jomo Kenyatta International Airport,"Nairobi, Kenya"
NBS,Changbaishan Airport,"Baishan, Jilin, China"
NBW,Guantanamo Bay Naval Base,"Guantánamo Bay, Cuba"
NBX,Nabire Airport,"Nabire, Indonesia"
NCA,North Caicos Airport,"North Caicos, British Overseas Territoryof Turks and Caicos Islands"
NCE,Nice Côte d'Azur Airport,"Nice, Provence-Alpes-Côte d'Azur, France"
NCG,Nuevo Casas Grandes Municipal Airport,"Nuevo Casas Grandes, Chihuahua, Mexico"
NCH,Nachingwea Airport,"Nachingwea, Tanzania"
NCI,Antioquia Airport,"Necoclí, Colombia"
NCJ,Sunchales Airport,"Sunchales, Santa Fe, Argentina"
NCL,Newcastle Airport,"Newcastle upon Tyne, England, United Kingdom"
NCN,Chenega Bay Airport (FAA: C05),"Chenega, Alaska, United States"
NCO,Quonset State Airport (FAA: OQU),"North Kingstown, Rhode Island, United States"
NCR,San Carlos Airport,"San Carlos, Nicaragua"
NCS,Newcastle Airport,"Newcastle, South Africa"
NCT,Nicoya Guanacaste Airport,"Nicoya, Costa Rica"
NCU,Nukus Airport,"Nukus, Uzbekistan"
NCY,Annecy – Haute-Savoie – Mont Blanc Airport,"Annecy, Rhône-Alpes, France"
NDA,Bandanaira Airport,"Banda Islands, Indonesia"
NDB,Nouadhibou International Airport,"Nouadhibou, Mauritania"
NDC,Shri Guru Gobind Singh Ji Airport,"Nanded, Maharashtra, India"
NDD,Sumbe Airport,"Sumbe, Angola"
NDE,Mandera Airport,"Mandera, Kenya"
NDF,N'dalatando Airport,"N'dalatando, Angola"
NDG,Qiqihar Sanjiazi Airport,"Qiqihar, Heilongjiang, China"
NDI,Namudi Airport,"Namudi, Papua New Guinea"
NDJ,N'Djamena International Airport,"N'Djamena, Chad"
NDK,Namorik Airport (Namdrik Airport) (FAA: 3N0),"Namdrik Atoll, Marshall Islands"
NDL,N'Délé Airport,"N'Délé (Ndele), Central African Republic"
NDM,Mendi Airport,"Mendi, Ethiopia"
NDN,Nadunumu Airport,"Nadunumu, Papua New Guinea"
NDR,Nador International Airport,"Nador, Morocco"
NDS,Sandstone Airport,"Sandstone, Western Australia, Australia"
NDU,Rundu Airport,"Rundu, Namibia"
NDY,Sanday Airport,"Sanday, Scotland, United Kingdom"
NEA,Naval Air Station Glynco,"Glynco, Georgia, Georgia, United States"
NEC,Necochea Airport,"Necochea, Buenos Aires, Argentina"
NEF,Neftekamsk Airport,"Neftekamsk, Bashkortostan, Russia"
NEG,Negril Aerodrome,"Negril, Jamaica"
NEJ,Nejjo Airport,"Nejo, Ethiopia"
NEK,Nekemte Airport,"Nekemte, Ethiopia"
NEL,NAES Lakehurst (Maxfield Field),"Lakehurst, New Jersey, United States"
NEN,NOLF Whitehouse,"Jacksonville, Florida, United States"
NER,Chulman Neryungri Airport,"Neryungri, Yakutia, Russia"
NEU,Sam Neua Airport,"Sam Neua, Laos"
NEV,Vance W. Amory International Airport,"Nevis, Saint Kitts and Nevis"
NEW,Lakefront Airport,"New Orleans, Louisiana, United States"
NFG,Nefteyugansk Airport,"Nefteyugansk, Khanty-Mansi Autonomous Okrug, Russia"
NFL,NAS Fallon (Van Voorhis Field),"Fallon, Nevada, United States"
NFO,Niuafo'ou Airport,"Niuafo'ou, Tonga"
NFR,Nafoora Airport,"Nafoora, Libya"
NGA,Young Airport,"Young, New South Wales, Australia"
NGB,Ningbo Lishe International Airport,"Ningbo, Zhejiang, China"
NGD,Auguste George Airport,"Anegada, British Overseas Territory of Virgin Islands"
NGE,Ngaoundéré Airport,"Ngaoundéré, Cameroon"
NGF,MCAS Kaneohe Bay,"Kaneohe, Hawaii, United States"
NGI,Gau Airport,"Gau Island, Fiji"
NGK,Nogliki Airport,"Nogliki, Sakhalin Oblast, Russia"
NGL,Ngala Airfield,"Ngala, South Africa"
NGN,Narganá Airport,"Narganá, Panama"
NGO,Chubu Centrair International Airport,"Nagoya, Honshu, Japan"
NGP,NAS Corpus Christi (Truax Field),"Corpus Christi, Texas, United States"
NGQ,Ngari Gunsa Airport,"Shiquanhe, Tibet Autonomous Region, China"
NGR,Ningerum Airport,"Ningerum, Papua New Guinea"
NGS,Nagasaki Airport,"Nagasaki, Kyushu, Japan"
NGU,NS Norfolk (Chambers Field),"Norfolk, Virginia, United States"
NGW,NOLF Cabaniss Field,"Corpus Christi, Texas, United States"
NGX,Manang Airport,"Manang, Nepal"
NHA,Nha Trang Air Base,"Nha Trang, Vietnam"
NHD,Al Minhad Air Base,"Dubai, United Arab Emirates"
NHF,New Halfa Airport,"New Halfa, Sudan"
NHK,NAS Patuxent River (Trapnell Field),"Patuxent River, Maryland, United States"
NHS,Nushki Airport,"Nushki, Pakistan"
NHT,RAF Northolt,"Northolt, England, United Kingdom"
NHV,Nuku Hiva Airport,"Nuku Hiva, Marquesas Islands, French Polynesia"
NHX,NOLF Barin (FAA: NBJ),"Foley, Alabama, United States"
NHZ,Brunswick Executive Airport,"Brunswick, Maine, United States"
NIA,Nimba Airport,"Nimba, Liberia"
NIB,Nikolai Airport (FAA: FSP),"Nikolai, Alaska, United States"
NIC,Nicosia International Airport1,"Nicosia, Cyprus"
NIF,Nifty Airport,"Nifty, Western Australia, Australia"
NIG,Nikunau Airport,"Nikunau, Kiribati"
NIK,Niokolo-Koba Airport,"Niokolo-Koba, Senegal"
NIM,Diori Hamani International Airport,"Niamey, Niger"
NIN,Ninilchik Airport,"Ninilchik, Alaska, United States"
NIO,Nioki Airport,"Nioki, Democratic Republic of the Congo"
NIP,NAS Jacksonville (Towers Field),"Jacksonville, Florida, United States"
NIR,Chase Field Industrial Complex (FAA: 1XA2),"Beeville, Texas, United States"
NIS,Simberi Airport,"Simberi Island, Papua New Guinea"
NIT,Niort - Souché Airport,"Niort, Poitou-Charentes, France"
NIU,Niau Airport,"Niau, Tuamotus, French Polynesia"
NIX,Nioro Airport,"Nioro du Sahel, Mali"
NJA,Naval Air Facility Atsugi,"Atsugi, Honshu, Japan"
NJC,Nizhnevartovsk Airport,"Nizhnevartovsk, Khanty-Mansi Autonomous Okrug, Russia"
NJF,Al Najaf International Airport,"Al Najaf, Iraq"
NJK,NAF El Centro,"El Centro, California, United States"
NKA,Nkan Airport,"Ntoum (Nkan), Gabon"
NKB,Noonkanbah Airport,"Noonkanbah Station, Western Australia, Australia"
NKC,Nouakchott–Oumtounsy International Airport,"Nouakchott, Mauritania"
NKD,Sinak Airport,"Sinak, Indonesia"
NKG,Nanjing Lukou International Airport,"Nanjing, Jiangsu, China"
NKI,Naukati Bay Seaplane Base (FAA: AK62),"Naukati Bay, Alaska, United States"
NKL,Nkolo-Fuma Airport,"Kolo Fuma, Democratic Republic of the Congo"
NKM,Nagoya Airfield (Komaki Airport),"Nagoya, Honshu, Japan"
NKN,Nankina Airport,"Nankina, Papua New Guinea"
NKO,Ankokoambo Airport,"Ankokoambo, Madagascar"
NKP,Nukutepipi Airport,"Nukutepipi, Tuamotus, French Polynesia"
NKS,Nkongsamba Airport,"Nkongsamba, Cameroon"
NKT,Sirnak Airport,"Sirnak / Cizre, Turkey"
NKU,Nkaus Airport,"Nkau, Lesotho"
NKX,MCAS Miramar,"San Diego, California, United States"
NKY,Yokangassi Airport,"Nkayi (N'kayi), Republic of the Congo"
NLA,Simon Mwansa Kapwepwe International Airport,"Ndola, Zambia"
NLC,NAS Lemoore (Reeves Field),"Lemoore, California, United States"
NLD,Quetzalcóatl International Airport,"Nuevo Laredo, Tamaulipas, Mexico"
NLE,Jerry Tyler Memorial Airport (FAA: 3TR),"Niles, Michigan, United States"
NLF,Darnley Island Airport,"Darnley Island, Queensland, Australia"
NLG,Nelson Lagoon Airport (FAA: OUL),"Nelson Lagoon, Alaska, United States"
NLH,Ninglang Luguhu Airport,"Ninglang, Yunnan, China"
NLI,Nikolayevsk-on-Amur Airport,"Nikolayevsk-on-Amur, Khabarovsk Krai, Russia"
NLK,Norfolk Island Airport,"Norfolk Island, Australia"
NLL,Nullagine Airport,"Nullagine, Western Australia, Australia"
NLN,Kneeland Airport (FAA: O19),"Arcata / Eureka, California, United States"
NLO,N'Dolo Airport,"Kinshasa, Democratic Republic of the Congo"
NLP,Nelspruit Airport,"Mbombela, South Africa"
NLS,Nicholson Airport,"Nicholson, Western Australia, Australia"
NLT,Xinyuan Nalati Airport,"Xinyuan, Xinjiang, China"
NLU,Santa Lucía Air Force Base Num 1,"Zumpango, State of Mexico, Mexico"
NLV,Mykolaiv International Airport,"Mykolaiv, Ukraine"
NMA,Namangan Airport,"Namangan, Uzbekistan"
NMB,Daman Airport,"Daman, Daman and Diu, India"
NMC,Norman's Cay Airport,"Norman's Cay, Exuma Islands, Bahamas"
NME,Nightmute Airport (FAA: IGT),"Nightmute, Alaska, United States"
NMG,San Miguel Airport,"San Miguel, Panama"
NML,Fort McMurray/Mildred Lake Airport (TC: CAJ3),"Fort McMurray, Alberta, Canada"
NMN,Nomane Airport,"Nomane, Papua New Guinea"
NMP,New Moon Airport,"New Moon, Queensland, Australia"
NMR,Nappa Merrie Airport,"Nappa Merrie, Queensland, Australia"
NMS,Nansang Airport,"Nansang (Namsang), Myanmar"
NMT,Namtu Airport,"Namtu, Myanmar"
NNA,Kenitra Air Base,"Kenitra, Morocco"
NNB,Santa Ana Airport,"Santa Ana Island (Owaraha), Solomon Islands"
NND,Nangade Airport,"Nangade, Mozambique"
NNG,Nanning Wuxu International Airport,"Nanning, Guangxi, China"
NNI,Namutoni Airport,"Namutoni, Namibia"
NNK,Naknek Airport (FAA: 5NK),"Naknek, Alaska, United States"
NNL,Nondalton Airport (FAA: 5NN),"Nondalton, Alaska, United States"
NNM,Naryan-Mar Airport,"Naryan-Mar, Nenets Autonomous Okrug, Russia"
NNR,Connemara Airport,"Spiddal, Ireland"
NNT,Nan Nakhon Airport,"Nan, Thailand"
NNU,Nanuque Airport,"Nanuque, Minas Gerais, Brazil"
NNX,Nunukan Airport,"Nunukan, Indonesia"
NNY,Nanyang Jiangying Airport,"Nanyang, Henan, China"
NOA,NAS Nowra,"Nowra, New South Wales, Australia"
NOB,Nosara Airport,"Nosara, Costa Rica"
NOC,Ireland West Airport Knock,"Knock, Ireland"
NOD,Norddeich Airport,"Norden, Lower Saxony, Germany"
NOG,Nogales International Airport,"Nogales, Sonora, Mexico"
NOI,Novorossiysk Airport,"Novorossiysk, Krasnodar Krai, Russia"
NOJ,Noyabrsk Airport,"Noyabrsk, Yamalo-Nenets Autonomous Okrug, Russia"
NOK,Nova Xavantina Airport,"Nova Xavantina, Mato Grosso, Brazil"
NOM,Nomad River Airport,"Nomad River, Papua New Guinea"
NON,Nonouti Airport,"Nonouti, Kiribati"
NOO,Naoro Airport,"Naoro, Papua New Guinea"
NOP,Sinop Airport,"Sinop, Turkey"
NOR,Norðfjörður Airport,"Nordfjordur, Iceland"
NOS,Fascene Airport,"Nosy Be, Madagascar"
NOT,Marin County Airport (Gnoss Field) (FAA: DVO),"Novato, California, United States"
NOU,La Tontouta International Airport,"Nouméa, New Caledonia"
NOV,Albano Machado Airport,"Huambo, Angola"
NOZ,Spichenkovo Airport,"Novokuznetsk, Kemerovo Oblast, Russia"
NPA,NAS Pensacola (Forrest Sherman Field),"Pensacola, Florida, United States"
NPE,Hawke's Bay Airport,"Napier / Hastings, New Zealand"
NPG,Nipa Airport,"Nipa, Papua New Guinea"
NPH,Nephi Municipal Airport (FAA: U14),"Nephi, Utah, United States"
NPL,New Plymouth Airport,"New Plymouth, New Zealand"
NPO,Nanga Pinoh Airport,"Nanga Pinoh, Indonesia"
NPP,Napperby Airport,"Napperby, Northern Territory, Australia"
NPR,Novo Progresso Airport,"Novo Progresso, Pará, Brazil"
NPT,Newport State Airport (FAA: UUU),"Newport, Rhode Island, United States"
NPU,San Pedro de Urabá Airport,"San Pedro de Urabá, Colombia"
NQA,Millington Regional Jetport,"Millington, Tennessee, United States"
NQI,NAS Kingsville,"Kingsville, Texas, United States"
NQL,Niquelândia Airport,"Niquelândia, Goiás, Brazil"
NQN,Presidente Perón International Airport,"Neuquén, Neuquén, Argentina"
NQT,Nottingham Airport,"Nottingham, England, United Kingdom"
NQU,Reyes Murillo Airport,"Nuquí, Colombia"
NQX,NAS Key West (Boca Chica Field),"Key West, Florida, United States"
NQY,Newquay Airport,"Newquay, England, United Kingdom"
NRA,Narrandera Airport,"Narrandera, New South Wales, Australia"
NRB,NS Mayport (Admiral David L. McDonald Field),"Mayport, Florida, United States"
NRC,NASA Crows Landing Airport,"Crows Landing, California, United States"
NRD,Norderney Airport,"Norderney, Lower Saxony, Germany"
NRE,Namrole Airport,"Namrole, Indonesia"
NRG,Narrogin Airport,"Narrogin, Western Australia, Australia"
NRI,Grand Lake Regional Airport (FAA: 3O9),"Afton, Oklahoma, United States"
NRK,Norrköping Airport,"Norrköping, Sweden"
NRL,North Ronaldsay Airport,"North Ronaldsay, Scotland, United Kingdom"
NRM,Keibane Airport,"Nara, Mali"
NRN,Weeze Airport (Niederrhein Airport),"Weeze, North Rhine-Westphalia, Germany"
NRR,José Aponte de la Torre Airport (FAA: RVR),"Ceiba, Puerto Rico, United States"
NRS,NOLF Imperial Beach (Ream Field),"Imperial Beach, California, United States"
NRT,Narita International Airport,"Tokyo, Honshu, Japan"
NRY,Newry Airport,"Newry Station, Northern Territory, Australia"
NSB,North Seaplane Base,"Bimini, Bahamas"
NSE,NAS Whiting Field – North,"Milton, Florida, United States"
NSH,Noshahr Airport,"Nowshahr, Iran"
NSI,Yaoundé Nsimalen International Airport,"Yaoundé, Cameroon"
NSK,Alykel Airport,"Norilsk, Krasnoyarsk Krai, Russia"
NSL,Slayton Municipal Airport (FAA: DVP),"Slayton, Minnesota, United States"
NSM,Norseman Airport,"Norseman, Western Australia, Australia"
NSN,Nelson Airport,"Nelson, New Zealand"
NSO,Scone Airport,"Scone, New South Wales, Australia"
NST,Nakhon Si Thammarat Airport,"Nakhon Si Thammarat, Thailand"
NSV,Noosa Airport,"Noosaville, Queensland, Australia"
NSY,Naval Air Station Sigonella,"Catania, Sicily, Italy"
NTA,Natadola Seaplane Base,"Natadola Bay, Fiji"
NTB,"Notodden Airport, Tuven","Notodden, Norway"
NTC,Santa Carolina Airport,"Santa Carolina, Mozambique"
NTD,NAS Point Mugu (Naval Base Ventura County),"Point Mugu, California, United States"
NTE,Nantes Atlantique Airport,"Nantes, Pays de la Loire, France"
NTG,Nantong Xingdong Airport,"Nantong, Jiangsu, China"
NTI,Stenkol Airport,"Bintuni, Indonesia"
NTJ,Manti-Ephraim Airport (FAA: 41U),"Manti, Utah,  United States"
NTL,Newcastle Airport / RAAF Base Williamtown,"Newcastle, New South Wales, Australia"
NTM,Miracema do Tocantins Airport,"Miracema do Tocantins, Tocantins, Brazil"
NTN,Normanton Airport,"Normanton, Queensland, Australia"
NTO,Agostinho Neto Airport,"Santo Antão, Cape Verde"
NTQ,Noto Airport,"Wajima, Honshu, Japan"
NTR,Del Norte International Airport,"Monterrey, Nuevo León, Mexico"
NTT,Niuatoputapu Airport,"Niuatoputapu, Tonga"
NTU,NAS Oceana (Apollo Soucek Field),"Virginia Beach, Virginia, United States"
NTX,Ranai Airport,"Natuna Islands, Indonesia"
NTY,Pilanesberg International Airport,"Sun City, South Africa"
